case,pv01,dv01_01,dv01_02,pv04_01,pv27,pv05,pv06_01,pv07_01,pv32_01,pv09,pv09_01,pv09_02,sd37,sd37_01,sd37_02,pv10,pv31,pv26,pv17,pv24,pv30,pv11_01,pv12,pv13_01,pv35,pv34,pv28,sd01,sd25_01,sd09_01,sd10,sd10_09,sd12,sd12_01,sd12_02,sd12_03,sd12_04,sd12_05,sd12_06,sd12_07,sd12_08,sd12_09,sd12_14,sd12_13,sd12_13a,sd14,sd14_10,sd17_01,sd40_01,sd21,sd21_10,sd30,sd50,sd50_01,sd50_02,sd47,sd47_01,sd47_02,sd45,sd45_01,sd45_02,sd36,sd36_01,sd36_02,sd52,sd52_01,sd52_02,sd49,sd49_01,sd49_02,sd44,sd44_01,sd44_02,sd41_16_cn,sd41_16_1,sd41_16_2,sd41_16_3,sd41_16_4,sd41_16_5,sd41_17_cn,sd41_17_1,sd41_17_2,sd41_17_3,sd41_17_4,sd41_17_5,sd41_12_cn,sd41_12_1,sd41_12_2,sd41_12_3,sd41_12_4,sd41_12_5,sd41_13_cn,sd41_13_1,sd41_13_2,sd41_13_3,sd41_13_4,sd41_13_5,sd41_07_cn,sd41_07_1,sd41_07_2,sd41_07_3,sd41_07_4,sd41_07_5,sd41_18_cn,sd41_18_1,sd41_18_2,sd41_18_3,sd41_18_4,sd41_18_5,sd41_15_cn,sd41_15_1,sd41_15_2,sd41_15_3,sd41_15_4,sd41_15_5,sd41_06_cn,sd41_06_1,sd41_06_2,sd41_06_3,sd41_06_4,sd41_06_5,sd41_11_cn,sd41_11_1,sd41_11_2,sd41_11_3,sd41_11_4,sd41_11_5,sd41_04_cn,sd41_04_1,sd41_04_2,sd41_04_3,sd41_04_4,sd41_04_5,sd41_03_cn,sd41_03_1,sd41_03_2,sd41_03_3,sd41_03_4,sd41_03_5,sd41_05_cn,sd41_05_1,sd41_05_2,sd41_05_3,sd41_05_4,sd41_05_5,sd41_10_cn,sd41_10_1,sd41_10_2,sd41_10_3,sd41_10_4,sd41_10_5,sd41_09_cn,sd41_09_1,sd41_09_2,sd41_09_3,sd41_09_4,sd41_09_5,sd43_16_cn,sd43_16_1,sd43_16_2,sd43_16_3,sd43_17_cn,sd43_17_1,sd43_17_2,sd43_17_3,sd43_12_cn,sd43_12_1,sd43_12_2,sd43_12_3,sd43_13_cn,sd43_13_1,sd43_13_2,sd43_13_3,sd43_07_cn,sd43_07_1,sd43_07_2,sd43_07_3,sd43_18_cn,sd43_18_1,sd43_18_2,sd43_18_3,sd43_15_cn,sd43_15_1,sd43_15_2,sd43_15_3,sd43_06_cn,sd43_06_1,sd43_06_2,sd43_06_3,sd43_11_cn,sd43_11_1,sd43_11_2,sd43_11_3,sd43_04_cn,sd43_04_1,sd43_04_2,sd43_04_3,sd43_03_cn,sd43_03_1,sd43_03_2,sd43_03_3,sd43_05_cn,sd43_05_1,sd43_05_2,sd43_05_3,sd43_10_cn,sd43_10_1,sd43_10_2,sd43_10_3,sd43_09_cn,sd43_09_1,sd43_09_2,sd43_09_3,sd39,sd38,sd51,sd48,sd46,sd54_01,ta02,ta03_count,ta03_1,ta03_2,ta03_3,ta03_4,ta03_5,ta03_6,ta03_7,ta03_8,ta03_9,ta03_10,ta03_11,ta03_12,ta03_13,ta03_14,ta03_15,ta03_16,ta03_17,ta03_18,ta03_19,ta03_20,ta03_21,ta03_22,ta03_23,ta03_24,ta04_count,ta04_1,ta04_2,ta04_3,ta04_4,ta04_5,ta04_6,ta04_7,ta04_8,ta04_9,ta04_10,ta04_11,ta04_12,ta04_13,ta04_14,ta04_15,ta04_16,ta04_17,ta04_18,ta04_19,ta04_20,ta04_21,ta04_22,ta04_23,ta04_24,ta05_01,ta06_01,ta07_01,ta08_01,ta09_01,age,protrans_att,protrans_attex,pronuke_att,num_charg,sizeclas,school,isced11,nuts2,nuts3,flatsize,hh_size,num_chld,hh_inc,size_pp,pv_year,fit,pv_pow,pv_cost,pv_gen23,pv_fin23,pv_fin23eur,pv_gen22,pv_fin22,pv_fin22eur,pv_purc,pv_purceur,pvfi_23,pvfi_22,no_purc,no_purceur,elcpur23_pv,elcpur23_non,elcpur23,pvsc_23,pvsc_22,raus,outlier,filter,tv,dish,wash,dryer,pc,oven,freezer,heater,ebike,ecar,aircon,sauna,pool,fridge,,ta08_01_korr
5705,2,6,1, , , , , , , , , , , , , , , , , , , , , , , , ,1,1963,   38176,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,4, ,6500,125,2, ,0, , , ,1,2600, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,0,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,0,1,1,1,1,2,1,1,1,2,1,1,0,1,1,1,0,1,1,1,0,1,1,1,3, , , , ,5,-9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,-9, ,60,"4,2","3,92307692307692",5,-9, ,5,7,38,381,125,2, ,6500,"62,5", , , , , , , , , , , , , , ,2600, , ,2600,2600, , ,0, , ,2,2,2,1,2,2,2,1,2,2,1,1,1,2,,
2205,1,4,4,10,3,24,10000,10000,6000,1,6500, ,1,3000, ,2,1,3, ,10,6, , , ,3,3, ,1,1989,    3226,4, ,1,1,1,2,1,1,1,1,1,1,1,1, ,6, ,4000,140,3, ,1,1,2700, , , , ,1,2500, ,1,2590, ,1,3700, , , , ,1,3500, ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2, ,2,6,23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0, ,-9, ,34,"2,1",2,4,1,10,2,3,32,322,140,3,1,4000,"46,6666666666667",2022,"7,23",10,10000,10000,6500, ,6000, ,",06",3000, ,6500,",829875518672199", , ,3000, ,3000,3500,"5999,17012448133",0, , ,2,1,1,1,1,2,1,2,1,2,1,1,2,1,,
2898,1,10,9,4543,4,22,20000,7658,3456,1,1200, ,2, ,546,1,1,1,6,5,5,5,13,4500,4,4,1,2,1993,   20095,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,-9, ,5600,112,3, ,1,2, ,450, , , ,2, ,460,2, ,250,2, ,200, , , ,2, ,350,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, ,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,4,10,45,61,45,30,3,"2,92307692307692",3,4,4543,5,7,20,200,112,3,1,5600,"37,3333333333333",2020,"9,1","4,543",20000,7658,1200, ,3456, ,450, ,546,1200,"4945,05494505495", , ,"1180,03025718608", ,"1180,03025718608",6458,"-1489,05494505495",0, , ,2,1,2,2,2,2,2,2,2,2,2,2,2,1,,60
2951,1,6,6, ,3,21,300,333,33,1,30, ,2, ,4,1,1,2,8,8,4, ,14,3333,3,3,2,2,2000,   33333,5, ,1,1,2,1,1,1,1,1,1,1,1,1, ,2, ,333,33,3, ,2,1,33, , , , ,1,33, , , , ,1,300, , , , , , , ,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,6,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4, ,70,3,23,"3,1","3,07692307692308","3,5",6, ,2,2,33,333,33,3,2,333,11,2019,"10,72", ,300,333,30, ,33,33, , ,4,30,33, , ,"8,64491030905554", ,"8,64491030905554",303,0,0, , ,1,1,2,2,2,2,2,2,2,2,2,2,2,1,,69
3117,1,7,7,"1,2",3,23,7090,1254,14590,2, ,197,2, ,1187,1,1,2,6,11,11,3000,13,1245,2,2,1,2,2000,   32423,7, ,1,1,1,1,2,1,1,1,1,1,1,1, ,4, ,7000,136,5, ,0,2, ,246, , , ,2, ,2470,2, ,964,2, ,299, , , ,2, ,347,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, ,1,7,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,"1,4","2,2",3000,101,15,23,"3,2","3,23076923076923",3,7,1,3,4,32,324,136,5, ,7000,"27,2",2021,"7,53","1,2",7090,1254, ,197,14590, ,1479, ,1187,"2616,20185922975","19641,4342629482", , ,"2565,37713421223", ,"2565,37713421223","-1362,20185922975","-5051,43426294821",0, , ,1,2,2,1,2,2,2,1,1,2,2,1,1,1,,100
3329,1,10,8,2500,3,21,23000,1741,3564,2, ,400,1,2300, ,2,1,3, ,6,15, , , ,2,4, ,2,1987,   89073,4, ,1,1,1,2,1,1,1,1,1,1,1,1, ,4, ,4750,205,4, ,2,1,2000, , , , ,2, ,300,2, ,200,2, ,200, , , ,1,100, ,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2, ,2,9,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,60,67,70,36,3,"3,07692307692308",3,5,2500,2,3,89,890,205,4,2,4750,"51,25",2019,"10,72","2,5",23000,1741, ,400,3564, ,567,2300, ,"3731,34328358209","5289,17910447761", , ,2300, ,2300,"-1990,34328358209","-1725,17910447761",0, , ,1,1,1,1,2,2,2,2,2,2,2,2,1,1,,66
3342,1,10,7,"1,1",4,1,6826,1657,85,2, ,430,2, , ,1,1,2,3,7,8,"1,5",13,460,5,4,1,1,1999,   70469,5, ,1,1,1,1,1,2,1,1,1,1,1,1, ,4, ,4500,63,6, ,3,1,783, , , , ,1,84, ,2, ,784,1,63, , , , ,1,74, ,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, ,1,9,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,"3,4","2,3",67,58,31,24,"2,9","2,61538461538462","3,5",6,1,2,6,70,704,63,6,3,4500,"10,5", , ,"1,1",6826,1657, ,430,85,794, , , , ,794, , , , , , ,-709,0, , ,2,2,2,2,1,1,2,2,2,2,2,2,2,1,,57
3718,1,5,7,"1,2",3,24,5000,2609, ,2, ,",08",2, ,900,2,2,3, ,21,6, , , ,2, , ,2,1965,   72760,7, ,1,1,1,1,1,1,2,1,1,1,1,1, ,8, ,9000,130,5, ,2,1,3000, , , , , , , , , , ,2, ,700, , , , , , ,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,100,19,20,58,"3,5","3,46153846153846",5,5,1,3,3,72,727,130,5,2,9000,26,2022,"7,23","1,2",5000,2609, , , , , , ,900, , , , ,"1945,1048195375", ,"1945,1048195375", , ,0, , ,1,1,1,1,1,2,1,1,1,2,1,2,2,1,,18
4071,1,7,5,"1,3",3,23,2000,12, ,1,14, ,1,14, ,1,2,1,3,3,4,16,10,2500,3, ,1,2,2000,   36039,4, ,1,1,1,2,1,1,1,1,1,1,1,1, ,4, ,20000,50,2, ,0,2, ,50, , , , , , , , , ,1,16, , , , , , , ,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,4,25,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,56,85,12,23,"3,6","3,46153846153846","4,5",3,1,2,3,36,360,50,2, ,20000,25,2021,"7,53","1,3",2000,12,14, , , , ,14, ,14, , , ,14, ,14,-2, ,0, , ,2,2,2,2,1,2,2,2,2,2,1,2,2,1,,84
4373,1,7,8, ,3,22,50000,3000, ,1,1000, ,1,1000, ,2,2,-9, ,10,6, , , ,3, , ,2,1989,     384,7, ,1,1,1,1,1,2,1,1,1,1,1,1, ,4, ,5000,150,2, ,0,1,2000, , , , , , , ,1,1000, ,1,1000, , , , , , , ,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,-8,-8, , ,8,5,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,75,27,5,34,"3,2","3,07692307692308",3,8, ,3,6,38,384,150,2, ,5000,75,2020,"9,1", ,50000,3000,1000, , , , ,1000, ,1000, , , ,1000, ,1000,2000, ,0, , ,1,2,1,1,1,2,2,2,1,2,2,2,1,1,,26
5002,1,10,10,"7,7",4,22, ,6000,"6,8",2, ,300,1,"1,8", ,1,1,3,10,10,6,"4,5",12,8000,2,4,1,1,1982,   94363,6, ,2,1,1,2,1,1,2,1,1,1,1,1, ,5, ,4500,130,3, ,1,1, , , , , ,1,"1,4", , , , ,1,0, , , , , , , ,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,8,24,7,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,4,61,50,41,"3,2","3,30769230769231",3,2,7,2,3,94,943,130,3,1,4500,"43,3333333333333",2020,"9,1","7,7", ,6000, ,300,"6,8","3,8", ,"1,8", ,"3296,7032967033","3,8", , ,"1,8", ,"1,8","2703,2967032967",3,0, , ,1,1,2,1,2,2,2,1,1,2,1,1,1,1,,60
5182,1,4,3,10,3,25,22000,2900, ,1,8, ,1,2000, ,1,2,3,21,1,1,9,15,6000,3, ,1,1,1973,   64405,7, ,1,2,1,1,1,1,1,1,1,1,1,1, ,-9, ,3500,170,3, ,1,1,4900, , , , , , , , , , ,1,1500, , , , , , , ,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,-8, , ,6,3,4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,0,56,62,100,50,"2,8","2,61538461538462",3,6,10,3,3,64,644,170,3,1,3500,"56,6666666666667",2023,"8,2",10,22000,2900,8, , , , ,2000, ,8, , , ,2000, ,2000,2892, ,0, , ,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,61
5988,1,3,2,"9,8",3,24,29000,11000, ,1,6000, ,1,3000, ,1,2,2,10,10,6,10,14,10000,3, ,1,1,1990,     522,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,11, ,7000,165,5, ,1,1,4000, , , , , , , , , , ,1,0, , , , , , , ,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1, , ,6,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,6,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,12,1, ,33,"4,2",4,5,6,9,5,7,52,522,165,5,1,7000,33,2022,"7,23","9,8",29000,11000,6000, , , , ,3000, ,6000, , , ,3000, ,3000,5000, ,0, , ,1,2,1,2,1,2,1,1,1,2,2,1,1,1,,0
6062,1,6,5,"9,72",4,25,13000,12000,11000,1,8000, ,1,2500, ,2,1,1, ,7,6, , , ,3,3, ,2,1976,   86836,6, ,1,1,1,1,1,2,1,1,1,1,1,1, ,4, ,62000,136,4, ,2,1,3500, , , , ,1,3000, , , , ,1,3800, , , , , , , ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,5,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,50,54,50,47,"3,9","3,92307692307692",5,5,9,2,6,86,868,136,4,2,62000,34,2023,"8,2","9,72",13000,12000,8000, ,11000,7500, ,2500, ,8000,7500, , ,2500, ,2500,4000,3500,0, , ,2,1,1,1,1,1,1,2,2,2,1,1,2,1,,53
6098,1,8,9, ,4,18,54000,500,500,1,400, ,1,600, ,1,1,1,12,11,8, ,12,800,4,4,1,2,1993,   80335,7, ,1,1,1,1,1,1,1,2,1,1,1,1, ,4, ,8000,120,5, ,3,1,500, , , , ,1,680, ,1,500, ,1,900, , , , ,1,600, ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, ,1,4,4,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,44,16,30,"3,5","3,23076923076923",3,7, ,4,6,80,803,120,5,3,8000,24,2016,"12,31", ,54000,500,400, ,500,450, ,600, ,400,450, , ,600, ,600,100,50,0, , ,2,2,2,2,2,2,1,2,2,2,2,1,2,1,,43
6997,1,4,10,"2,5",3,23,20000,4000, ,1,2000, ,1,3000, ,1,2,1,4,5,5,3,14,4000,3, ,1,2,1980,   80805,7, ,1,1,1,1,1,1,1,1,1,2,1,1, ,4, ,12900,200,4, ,2,1,6000, , , , , , , ,1,1500, ,1,2000, , , , , , , ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, , ,7,25,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,2,500,64,10,43,"3,2",3,3,3,2,6,8,80,808,200,4,2,12900,50,2021,"7,53","2,5",20000,4000,2000, , , , ,3000, ,2000, , , ,3000, ,3000,2000, ,0, , ,2,2,2,2,2,2,1,1,1,2,2,2,1,1,,63
1691,1,9,7,"4,5",3,25,20000,100, ,1,100, ,1,500, ,1,2,1,5,10,6,"4,5",9,5000,3, ,1,1,1987,   49080,4, ,1,1,1,2,1,1,1,1,1,1,1,1, ,4, ,5500,170,4, ,2,1,600, , , , , , , , , , ,1,100, , , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,6,25,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,5,72,85,50,36,3,"2,76923076923077",3,3,4,2,3,49,490,170,4,2,5500,"42,5",2023,"8,2","4,5",20000,100,100, , , , ,500, ,100, , , ,500, ,500,0, ,0, , ,2,2,2,2,2,2,2,2,1,2,2,1,1,2,,84
1823,1,9,8,10,3,18,18000,9800, ,1,6860, ,1,2000, ,2,2,3, ,12,4, , , ,3, , ,2,1973,   67166,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,4, ,6500,280,1, ,0,1,3500, , , , , , , , , , ,2, ,0, , , , , , ,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1, , ,7,22,9,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,12,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,6,60,26,30,50,"2,8","2,61538461538462",1,18,10,5,7,67,671,280,1, ,6500,280,2016,"12,31",10,18000,9800,6860, , , , ,2000, ,6860, , , ,2000, ,2000,2940, ,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,25
